Story ID,Epic,Epic Name,Story Title,User Story,Acceptance Criteria (Summary),Story Points,Sprint,Track,Assignee,Dependencies,Status,Completed Date,Notes
E1-S1,Epic 1,Foundation,Define API Contract,"As a development team, we want a documented API contract between the VS Code extension and the FastAPI server so that backend and frontend can develop independently without waiting on each other.","Document all endpoints (/health /scan /fix /progress /revert) with request+response schemas; define SSE event schema; example JSON for every endpoint; all three team members sign off",2,1,Both,Jayanth,None,Done,2026-04-13,workspace/api_contract.md created with full endpoint specs and SSE event schema
E1-S2,Epic 1,Foundation,FastAPI Server Scaffold,"As a frontend developer, I want a running FastAPI server with stub endpoints returning hardcoded responses so that I can integrate the extension against real HTTP immediately without waiting for real pipeline logic.","server/app.py starts on port 7432; /health returns ok; all endpoints return stub data; requests logged to console; requirements.txt updated with fastapi+uvicorn+sse-starlette",2,1,Backend,Soham,E1-S1,Done,2026-04-13,server/app.py built with all stub endpoints; tested with curl; requirements.txt updated
E1-S3,Epic 1,Foundation,VS Code Extension Scaffold,"As a developer, I want a barebones VS Code extension that spawns the Python server on activation and proves the HTTP connection works so that we have the full communication loop verified before building real features.","extension/ directory with valid package.json; spawns python server/app.py on activate; kills server on deactivate; calls /health and logs to Output Channel; friendly error if Python not found",2,1,Frontend,Ved,E1-S1,Done,2026-04-13,extension/ scaffold built; serverManager.ts handles spawn/kill/health poll; compiles clean
E2-S1,Epic 2,Smell Detection,Scan Endpoint (Real ReactSniffer),"As the VS Code extension, I want to POST a workspace path to /scan and receive a ranked list of real code smells detected by ReactSniffer so that the sidebar can display actionable issues.","Runs ReactSniffer subprocess on workspace path; returns smells sorted by severity; correct response shape with smell_id/smell_type/component_name/file_path; handles invalid path gracefully; responds within 60s",3,1,Backend,Soham,E1-S2,Done,2026-04-16,Real ReactSniffer subprocess via asyncio.to_thread; severity mapping; _enrich_smell_lines for precise line ranges; temp dir cleanup
E2-S2,Epic 2,Smell Detection,Smell Sidebar Tree View,"As a developer, I want to see all detected code smells grouped by type in a VS Code sidebar panel so that I can understand the full scope of issues in my project at a glance.","Sidebar in Activity Bar with Scan button; tree: Smell Type → File → Component; severity badges; loading spinner during scan; empty state message; error state message; works against stub data",3,1,Frontend,Ved,E1-S3,Done,2026-04-16,smellsProvider.ts built; file-first grouping sorted by severity then count; ThemeIcon severity badges; loading/error/empty states; openSmell command with multi-line highlight
E2-S3,Epic 2,Smell Detection,Smell Selection with Checkboxes,"As a developer, I want to check and uncheck individual smells (and select all by type) so that I have precise control over which code smells get fixed before I commit to running the pipeline.","Checkbox per smell leaf node; group header toggles all children; status bar shows selected count; Fix Selected button disabled when 0 selected; selection resets on new scan",2,2,Frontend,Ved,E2-S2,Done,2026-04-16,checkboxState on file+leaf nodes; handleCheckboxChange with group toggle; onDidChangeSelection event; setContext reactRefactor.hasSelection; status bar count
E2-S4,Epic 2,Smell Detection,Cost and Time Estimate Display,"As a developer, I want to see an estimated processing time and API cost before I start a fix run so that I can make an informed decision about how many smells to fix at once.","Shows est. time (count×25s÷3) and cost (count×$0.005) in sidebar; updates live on check/uncheck; confirmation dialog before starting fix with time+cost summary",2,2,Frontend,Jayanth,E2-S3,Done,2026-04-16,getEstimates() in extension.ts; live status bar + treeView.description updates on checkbox change; modal confirmation dialog with time+cost detail
E3-S1,Epic 3,Fix Execution,Fix Endpoint with Concurrency Control,"As the extension, I want to POST a list of smells to /fix and have the server run the LangGraph pipeline with a concurrency limit of 3 so that fixes complete in reasonable time without overloading OpenAI rate limits or causing file write conflicts.","Non-blocking POST returns job_id immediately; max 3 concurrent workers via asyncio+ThreadPoolExecutor; per-file lock prevents concurrent edits to same file; calls runner.run_task(); GET /jobs/{job_id} returns state; tested on 5 real smells",5,2,Backend,Soham,E2-S1,Done,2026-04-16,asyncio.Semaphore(3) + per-file asyncio.Lock; _run_fix_job background coroutine; gather_context + run_task via asyncio.to_thread; tested end-to-end on iPod-Classic-main
E3-S2,Epic 3,Fix Execution,SSE Progress Stream,"As the VS Code extension, I want to receive live Server-Sent Events as each pipeline node completes so that the UI can show real-time progress without polling.","GET /progress/{job_id} streams SSE; node_done events per task; task_done event with status/tactic/retry_count; run_complete event with summary; stream closes cleanly; reconnect delivers run_complete if already finished",3,2,Backend,Soham,E3-S1,Done,2026-04-16,on_node_done callback in runner.py via loop.call_soon_threadsafe; /progress drains asyncio.Queue; 15s timeout keepalive pings; reconnect case handled; tested with curl
E3-S3,Epic 3,Fix Execution,Live Progress UI,"As a developer, I want to see live progress in the sidebar and Output Channel while the pipeline runs so that I know it's working and can monitor which smells are being processed.","Spinner per smell while processing; icons update on task_done (✓/✗/↷/⚠); status bar shows count; Output Channel logs node events; Cancel button triggers DELETE /jobs; non-blocking SSE consumer; works against stub SSE",3,2,Frontend,Ved,E1-S3,Done,2026-04-16,runFix() in extension.ts streams /progress via fetch ReadableStream; setFixStatus() updates leaf+file icons live; fixStatusIcon() maps status to ThemeIcon; status bar spinner during run; toast on run_complete
E3-S4,Epic 3,Fix Execution,Cancel Running Job,"As a developer, I want to cancel a running fix job so that I can stop the pipeline mid-run if I change my mind without corrupting files already being edited.","DELETE /jobs/{job_id} sets cancellation flag; running task completes before stop; SSE emits cancelled event; files already edited remain; GET /jobs reflects cancelled status; 404 if job not found; 409 if already complete",2,2,Backend,Jayanth,E3-S1,Done,2026-04-17,task.cancel() on asyncio Task for immediate stop; CancelledError handler emits cancelled SSE event; /progress reconnect handles cancelled status; 409 for already-complete or already-cancelled
E4-S1,Epic 4,Results & Review,Run Summary Notification and Panel,"As a developer, I want to see a clear summary when a fix run completes so that I immediately understand how many smells were fixed, rejected, or skipped without reading the full log.","Notification on run_complete with accepted/rejected/skipped/failed counts; View Report opens Webview with results table; Revert All button in Webview; sidebar icons updated to final status",2,3,Frontend,Ved,E3-S3,Done,2026-04-17,showReportPanel() auto-opens Webview on run_complete; stat bar + results table with error column; Revert All calls POST /revert for all accepted smells
E4-S2,Epic 4,Results & Review,Inline Diff View per Smell,"As a developer, I want to click an accepted smell in the sidebar and immediately see a side-by-side diff of what the pipeline changed so that I can review the refactor before deciding whether to keep it.","Click accepted smell opens vscode.diff; left=git original via /original endpoint; right=current file; correct diff editor title; graceful fallback if file not in git; rejected/skipped shows message instead",2,3,Frontend,Jayanth,E4-S1,Done,2026-04-17,TextDocumentContentProvider with reactrefactor-original:// scheme; viewDiff command fetches GET /original and opens vscode.diff; rejected/skipped shows info message; 404 handled gracefully
E4-S3,Epic 4,Results & Review,Revert Endpoint,"As the VS Code extension, I want to call a revert endpoint for a specific file so that the user can undo a pipeline edit without manually running git commands.","POST /revert runs git checkout -- file; returns success/failure with clear error messages; GET /original returns git HEAD content; works on Windows and macOS; tested manually end-to-end",2,3,Backend,Soham,E3-S1,Done,2026-04-17,POST /revert runs git checkout -- via subprocess; GET /original runs git show HEAD:<file>; both via asyncio.to_thread; 404 for untracked files; git-not-found handled
E4-S4,Epic 4,Results & Review,Revert UI,"As a developer, I want a revert button on each accepted smell in the sidebar so that I can undo individual fixes I don't agree with in one click.","Revert inline action on hover for accepted smells; calls POST /revert; icon updates to reverted on success; error notification on failure; Revert All in summary Webview; already-reverted smells cannot be reverted again",1,3,Frontend,Ved,"E4-S2,E4-S3",Done,2026-04-17,revertSmell command with $(discard) inline action on smellLeaf-accepted; icon updates to $(history)/reverted; contextValue changes to smellLeaf-reverted preventing double-revert
E5-S1,Epic 5,Packaging & DX,Python Environment Detection,"As a developer installing the extension for the first time, I want it to automatically find my Python installation so that I don't need to configure anything manually before using it.","Checks ms-python extension API then python3/python on PATH; logs detected path+version to Output Channel; error if Python < 3.8; actionable error with interpreter picker button if not found; works Windows+macOS+Linux",3,4,Frontend,Jayanth,E1-S3,Done,2026-04-13,detectPython() in serverManager.ts; validates version ≥3.8; caches in globalState; logs version string
E5-S2,Epic 5,Packaging & DX,Automatic Dependency Installation,"As a developer installing the extension for the first time, I want Python dependencies installed automatically on first activation so that I don't need to manually run pip install before using the extension.","Runs pip install -r requirements.txt on first activation; progress in Output Channel; status bar shows Setting up...; writes .deps_installed marker on success; error notification with manual command on failure; skips on subsequent activations",3,4,Full-stack,Jayanth,E5-S1,Done,2026-04-13,dependencyInstaller.ts built; uses globalState flag; streams pip output; Copy Install Command on failure
E5-S3,Epic 5,Packaging & DX,Extension Packaging as VSIX,"As a team member, I want to install the extension from a .vsix file so that I can share and test the full extension without publishing to the VS Code Marketplace.","vsce package produces react-refactor-0.1.0.vsix; installs cleanly via Install from VSIX; server/ vendor/ requirements.txt bundled; .vscodeignore excludes runs/ data/ experiments/ __pycache__; activates correctly post-install; README covers prerequisites and usage",2,4,Frontend,Jayanth,All epics,Done,2026-04-17,scripts/bundle.js copies server+vendor+agentic_refactor_system+requirements.txt; smart path resolution for dev vs installed; .vscodeignore; README; OpenAI API key via VS Code Settings; react-refactor-0.1.0.vsix 259KB
